example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
138,0.137000E-06,0.547328E-06,0.181741E-06,0.455259E-06,0.183846E-06,0.134413E-06,0.130380E-06,0.403362E-08,
139,0.138000E-06,0.545333E-06,0.180751E-06,0.457249E-06,0.183830E-06,0.135418E-06,0.131319E-06,0.409902E-08,
140,0.139000E-06,0.543351E-06,0.179770E-06,0.459230E-06,0.183810E-06,0.136419E-06,0.132254E-06,0.416490E-08,
141,0.140000E-06,0.541382E-06,0.178798E-06,0.461202E-06,0.183785E-06,0.137416E-06,0.133185E-06,0.423125E-08,
142,0.141000E-06,0.539425E-06,0.177835E-06,0.463165E-06,0.183756E-06,0.138410E-06,0.134112E-06,0.429807E-08,
143,0.142000E-06,0.537481E-06,0.176880E-06,0.465120E-06,0.183720E-06,0.139400E-06,0.135034E-06,0.436534E-08,
144,0.143000E-06,0.535548E-06,0.175934E-06,0.467066E-06,0.183680E-06,0.140386E-06,0.135953E-06,0.443306E-08,
145,0.144000E-06,0.533628E-06,0.174997E-06,0.469003E-06,0.183635E-06,0.141369E-06,0.136867E-06,0.450125E-08,
146,0.145000E-06,0.531720E-06,0.174068E-06,0.470932E-06,0.183585E-06,0.142347E-06,0.137777E-06,0.456989E-08,
147,0.146000E-06,0.529824E-06,0.173147E-06,0.472853E-06,0.183531E-06,0.143322E-06,0.138683E-06,0.463899E-08,
148,0.147000E-06,0.527940E-06,0.172234E-06,0.474766E-06,0.183473E-06,0.144293E-06,0.139585E-06,0.470854E-08,
149,0.148000E-06,0.526068E-06,0.171329E-06,0.476671E-06,0.183410E-06,0.145261E-06,0.140482E-06,0.477854E-08,
150,0.149000E-06,0.524208E-06,0.170432E-06,0.478568E-06,0.183343E-06,0.146224E-06,0.141375E-06,0.484899E-08,
151,0.150000E-06,0.522359E-06,0.169543E-06,0.480457E-06,0.183273E-06,0.147184E-06,0.142264E-06,0.491988E-08,
